city,city_ascii,lat,lng,country
Delhi,Delhi,28.66,77.23,India
Mumbai,Mumbai,18.9667,72.8333,India
Kolkāta,Kolkata,22.5411,88.3378,India
Bangalore,Bangalore,12.9699,77.598,India
Chennai,Chennai,13.0825,80.275,India
Hyderābād,Hyderabad,17.3667,78.4667,India
Pune,Pune,18.5196,73.8553,India
Ahmadābād,Ahmadabad,23.03,72.58,India
Sūrat,Surat,21.17,72.83,India
Lucknow,Lucknow,26.847,80.947,India
Jaipur,Jaipur,26.9167,75.8667,India
Cawnpore,Cawnpore,26.4725,80.3311,India
Mirzāpur,Mirzapur,25.15,82.58,India
Nāgpur,Nagpur,21.1539,79.0831,India
Ghāziābād,Ghaziabad,28.6667,77.4167,India
Indore,Indore,22.7206,75.8472,India
Vadodara,Vadodara,22.3,73.2,India
Vishākhapatnam,Vishakhapatnam,17.7333,83.3167,India
Bhopāl,Bhopal,23.25,77.4167,India
Chinchvad,Chinchvad,18.6278,73.8131,India
Patna,Patna,25.61,85.1414,India
Ludhiāna,Ludhiana,30.9083,75.8486,India
Āgra,Agra,27.18,78.02,India
Kalyān,Kalyan,19.2502,73.1602,India
Madurai,Madurai,9.9197,78.1194,India
Jamshedpur,Jamshedpur,22.8,86.1833,India
Nāsik,Nasik,20,73.7833,India
Farīdābād,Faridabad,28.4333,77.3167,India
Aurangābād,Aurangabad,19.88,75.32,India
Rājkot,Rajkot,22.2969,70.7984,India
Meerut,Meerut,28.99,77.7,India
Jabalpur,Jabalpur,23.1667,79.9333,India
Thāne,Thane,19.18,72.9633,India
Dhanbād,Dhanbad,23.7928,86.435,India
Allahābād,Allahabad,25.455,81.84,India
Vārānasi,Varanasi,25.3189,83.0128,India
Srīnagar,Srinagar,34.0911,74.8061,India
Amritsar,Amritsar,31.6167,74.85,India
Alīgarh,Aligarh,27.88,78.08,India
Bhiwandi,Bhiwandi,19.3,73.0667,India
Gwalior,Gwalior,26.215,78.1931,India
Bhilai,Bhilai,21.2167,81.4333,India
Hāora,Haora,22.59,88.31,India
Rānchi,Ranchi,23.3556,85.3347,India
Bezwāda,Bezwada,16.5167,80.6167,India
Chandīgarh,Chandigarh,30.7353,76.7911,India
Mysore,Mysore,12.3086,76.6531,India
Raipur,Raipur,21.2379,81.6337,India
Kota,Kota,25.18,75.83,India
New Delhi,New Delhi,28.7,77.2,India
Bareilly,Bareilly,28.364,79.415,India
Jodhpur,Jodhpur,26.2918,73.0168,India
Dispur,Dispur,26.15,91.77,India
Coimbatore,Coimbatore,11,76.9667,India
Guwāhāti,Guwahati,26.1667,91.7667,India
Solāpur,Solapur,17.6833,75.9167,India
Trichinopoly,Trichinopoly,10.8269,78.6928,India
Hubli,Hubli,15.36,75.125,India
Jalandhar,Jalandhar,31.3256,75.5792,India
Bhubaneshwar,Bhubaneshwar,20.2644,85.8281,India
Bhayandar,Bhayandar,19.3,72.85,India
Morādābād,Moradabad,28.8418,78.7568,India
Kolhāpur,Kolhapur,16.7,74.2333,India
Thiruvananthapuram,Thiruvananthapuram,8.5,76.8997,India
Sahāranpur,Saharanpur,29.964,77.546,India
Warangal,Warangal,17.9756,79.6011,India
Salem,Salem,11.65,78.1667,India
