city1_name,city2_name,weight
Thane,Mumbai,27401.833562271768
Haora,Kolkata,6148.0659467053565
Kolar,Bangalore,60833.0120748077
Seven Pagodas,Chennai,51935.9724994591
Secunderabad,Hyderabad,9924.633367871418
Chinchvad,Pune,12841.560665936804
Ghandinagar,Ahmadabad,23498.052893139866
Bhavnagar,Surat,97686.57996768158
Sitalpur,Lucknow,89317.3117318403
Alwar,Jaipur,103660.45318321262
Lucknow,Cawnpore,74110.01145162676
Allahabad,Mirzapur,81847.67725344012
Yavatmal,Nagpur,129674.03560283034
Delhi,Ghaziabad,18251.658913868112
Ujjain,Indore,51949.80052203611
Khambhat,Vadodara,59813.18216909747
Anakapalle,Vishakhapatnam,32018.358208495203
Vidisha,Bhopal,50126.14819185151
Junnar,Chinchvad,64085.43750215975
Rajgir,Patna,70388.81605812674
Patiala,Ludhiana,83209.19895929693
Fatehpur Sikri,Agra,36906.537436307284
Junnar,Kalyan,75865.25853011604
Dindigul,Madurai,51371.95568415336
Bankura,Jamshedpur,103443.28236397283
Silvassa,Nasik,85452.32415551246
Delhi,Faridabad,26622.162877822975
Ahmadnagar,Aurangabad,107965.84621851606
Jasdan,Rajkot,50960.0596926541
Hapur,Meerut,28093.19343390869
Umaria,Jabalpur,100538.2602267612
Bhiwandi,Thane,17220.584583909822
Kulti,Dhanbad,42855.50389141281
Fatehpur,Allahabad,114590.11224922082
Mirzapur,Varanasi,47464.12901329875
Kulgam,Srinagar,53968.327386929006
Jalandhar,Amritsar,76441.85676534925
Bulandshahr,Aligarh,63268.96315467851
Kalyan,Bhiwandi,11281.040968839521
Etawah,Gwalior,103622.06208524933
Raipur,Bhilai,20928.315139057882
Bali,Haora,7356.241177920584
Chakradharpur,Ranchi,79003.00564143049
Tadepalle,Bezwada,5844.4486139634
Mauli,Chandigarh,7206.207099848272
Shrirangapattana,Mysore,13001.75187126496
Bilaspur,Raipur,108988.99020085478
Tonk,Kota,108110.08626776647
Delhi,New Delhi,5330.22947384742
Budaun,Bareilly,48980.40083939012
Pali,Jodhpur,65434.60085589856
Guwahati,Dispur,1888.050463226452
Kilkunda,Coimbatore,43245.92925764541
Gauripur,Guwahati,179834.299533242
Osmanabad,Solapur,55633.155152802305
Karur,Trichinopoly,68031.25008844188
Belgaum,Hubli,87587.31713038118
Ludhiana,Jalandhar,53076.43729920602
Jatani,Bhubaneshwar,17014.49834290072
Thane,Bhayandar,17895.43850613364
Rampur,Moradabad,26320.309399221074
Ichalkaranji,Kolhapur,25237.97326225294
Quilon,Thiruvananthapuram,55029.50847063112
Muzaffarnagar,Saharanpur,56970.01191808106
Karimnagar,Warangal,69796.39178923535
Erode,Salem,59909.08983730638
Nasik,Malegaon,100787.83067299904
Angamali,Kochi,27897.158226837502
Fyzabad,Gorakhpur,118958.62073657187
Belur,Shimoga,91445.32254110316
Tenali,Guntur,21271.907191695926
Coimbatore,Tiruppur,42483.02844634593
Chakradharpur,Raurkela,91792.11187612603
Udipi,Mangalore,53446.372161251216
Bhainsa,Nanded,66850.12931824198
Bhubaneshwar,Cuttack,21049.986237419995
Adilabad,Chanda,86269.46874329624
Saharanpur,Dehra Dun,60950.189382383425
Barddhaman,Durgapur,63617.26584837495
Jamuria,Asansol,11698.191510500968
Khambhat,Bhavnagar,78749.1887505739
Kavali,Nellore,53405.408870958694
Akola,Amravati,81144.9159546526
Tonk,Ajmer,120170.98222348417
Nagercoil,Tinnevelly,69343.94639676945
Sikar,Bikaner,185074.88648661366
Aizawl,Agartala,148684.87733126117
Ratlam,Ujjain,74182.47703618249
Kalyan,Ulhasnagar,3880.246763721414
Gwalior,Jhansi,93283.13983965159
Shimoga,Davangere,71035.14660372761
Udhampur,Jammu,34138.07425631832
Ichalkaranji,Belgaum,92817.90278155588
Bidar,Gulbarga,97861.17058917643
Rajkot,Jamnagar,77412.33693414941
Malegaon,Dhulia,45913.36848554524
Deo,Gaya,59690.23945014716
Dhulia,Jalgaon,82467.63849216652
Gadwal,Kurnool,51894.043943787605
Chittaurgarh,Udaipur,101019.50762884915
Guntakal,Bellary,50011.72646465068
Bijapur,Sangli,122475.98412239747
Tinnevelly,Tuticorin,47171.718496426896
Trichur,Calicut,94615.30045308731
Burhanpur,Akola,110264.59256547214
Saharsa,Bhagalpur,81666.40531741448
Pathanamthitta,Quilon,47654.85240707899
Jaipur,Sikar,105660.25527449153
Bangalore,Tumkur,67239.11389956085
Naihati,Bhatpara,3722.356875173609
Kairana,Muzaffarnagar,49426.9519807561
Draksharama,Kakinada,22605.11305514831
Kota,Bhilwara,121949.86997711289
Armur,Nizamabad,24051.647025137885
Rishra,Panihati,3029.0984714758765
Nanded,Parbhani,61738.19880136047
Sonipat,Rohtak,44612.14714805547
Parbhani,Latur,98895.09579260241
Tinnevelly,Rajapalaiyam,78254.78698465806
Junnar,Ahmadnagar,90672.40922417081
Kovvur,Rajahmundry,6492.758203984802
Proddatur,Cuddapah,41043.1165460914
Patna,Muzaffarpur,61727.49655015541
Bharatpur,Alwar,94678.34280500843
Narasannapeta,Brahmapur,128362.95263567826
Panihati,Kamarhati,2226.3898158654238
Amarkantak,Bilaspur,64162.99959513755
